Species	CMC001.A0101	CMC001.A0201	CMC001.B0201	CMC002.A0201	CMC002.B0201	CMC003.A0201	CMC003.B0101	CMC004.A0101	CMC004.B0201	CMC005.A0202	CMC005.B0101	CMC006.A0101	CMC006.B0201	CMC007.B0101	CMC008.A0101	CMC008.B0201	CMC009.A0202	CMC009.B0101	CMC010.A0101	CMC010.B0201	CMC011.A0201	CMC011.B0101	CMC012.A0201	CMC012.B0201	CMC013.A0201	CMC013.B0101	CMC014.A0101	CMC015.A0201	CMC015.B0201	CMC016.A0101	CMC016.A0102	CMC017.A0201	CMC017.B0201	CMC018.A0101	CMC018.B0101	CMC020.A0101	CMC020.B0101	CMC021.A0201	CMC021.B0201	CMC022.A0101	CMC022.B0101	CMC023.A0301	CMC023.B0201	CMC024.A0101	CMC024.B0101	CMC025.A0201	CMC026.A0101	CMC026.B0101	CMC027.A0201	CMC027.B0201	CMC028.A0101	CMC028.B0101	CMC029.A0201	CMC029.B0201	CMC030.A0101	CMC030.B0101	CMC031.A0201	CMC031.B0201	CMC032.A0101	CMC033.A0201	CMC033.B0201	CMC034.A0101	CMC034.B0101	CMC035.A0201	CMC035.B0201	CMC036.A0101	CMC036.B0101	CMC037.A0201	CMC037.B0201	CMC038.A0101	CMC038.B0101	CMC039.B0201	CMC040.B0101	CMC041.A0201	CMC042.A0201	CMC042.B0101	CMC043.A0101	CMC043.B0101	CMC044.A0201	CMC045.A0201	CMC045.B0201	CMC046.B0201	CMC047.A0201
Hydrogenothermus marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides barnesiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	0	0	0	0	0	0	0	416	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides heparinolyticus	356	566	0	0	0	0	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	635	0	0	0	0	0	0	241	0	0	0	1084	0	0	1433	493	0	0	0	0	360	678	0	0	318	1841	724	0	267	0	0	0	0	0	656	0	0	0	0	0	0	650	0	802	0	0	0	313	0	14405	9613	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides mediterraneensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
